Company|Reviews|SCORE|SENTIMENT_LABEL
Wipro|employee friendly wipro employee friendly employee cannot grow financially policies constructed benefit wipro employee wide range projects notice period 3 months work-life balance technology totally depends projects get risky stay bench get project asap good team project good depends project team could learn much fresher buy overall good experience salary competitive less hike good work life balance pressure work wonderful team supportive manager manager checks team members bandwidth assigns work take many planned leaves workplace culture workplace culture nice company work good work life balance depends project working management management good extent pretty relaxing environment many learning opportunities wipro got cloud certified worked cloud projects that’s phenomenal boosting career nice fresher hardly technical skills elite colleges like iits strong analytical abilities communication skills job definitely initially first two years feel insecured career would hardly gained technical experience definitely alot maturity terms dealing challenging situations hunt jobs profile max would land bpo little increment salary trust would miss amazon since cannot better profiles organisation category roles conclude almost market value point time unless opt move bpo good bench time issue = 45 days salary time 20 k extra medical bill company good project changed 18 month manager supporting 3 day work office 20 k extra medical bills bench time 45 days excellent best part working company? good working environment colleagues management|0.36310975609756097|negative
Wipro|employee friendly wipro employee friendly employee cannot grow financially policies constructed benefit wipro employee wide range projects notice period 3 months work-life balance technology totally depends projects get risky stay bench get project asap good team project good depends project team could learn much fresher buy overall good experience salary competitive less hike good work life balance pressure work wonderful team supportive manager manager checks team members bandwidth assigns work take many planned leaves workplace culture workplace culture nice company work good work life balance depends project working management management good extent pretty relaxing environment many learning opportunities wipro got cloud certified worked cloud projects that’s phenomenal boosting career nice fresher hardly technical skills elite colleges like iits strong analytical abilities communication skills job definitely initially first two years feel insecured career would hardly gained technical experience definitely alot maturity terms dealing challenging situations hunt jobs profile max would land bpo little increment salary trust would miss amazon since cannot better profiles organisation category roles conclude almost market value point time unless opt move bpo good bench time issue = 45 days salary time 20 k extra medical bill company good project changed 18 month manager supporting 3 day work office 20 k extra medical bills bench time 45 days excellent best part working company? good working environment colleagues management|0.36310975609756097|negative
Amazon.com|amazon fun place work amazon learnt many things e-commerce customers buy sell online important customers company learnt full meaning customer king cool company work dell biggest computer company work culture really awesome management colleagues company whole really greatwhen joined dell knew nothing computers peripherals leaving dell knew much troubleshooting thanks dell genpact say company dream company work awesome staff wide range learning tools free sodexos amazon dell none good company work amazon best place learn good cool culture like formal dress code good employee behavior amazon world best mind working one willing learn best place many groups learn job profile required date new technologies welcome global employee growth good salary expect little work pressure overall wonderful place amazon feels like day 1 everyday ❤️ amazon company emotion join feel belong workplace comfortable people friendly company gives many benefits employees lots fun activities conducted also platform multiple growth opportunities grow within organization glad worked amazon wish join get chance meal allowance transport allowance dress code sufficient leave transparency cons great work culture targets oriented work culture amazing salary also higher compared companies job target based targets keep increasing every quarter great great culture good management understand helping amazing cafeteria rotating shifts amazing work life balance lot growth population option work home working amazon software development engineer (sde) working amazon software development engineer (sde) incredible journey dynamic environment fosters innovation collaboration allowing continuous professional growth emphasis customer-centric solutions inspiring driving us create impactful products vast scale projects challenges refines technical skills ensuring stay forefront technology amazon's leadership principles values paper; guide every aspect work promoting culture excellence ownership fast-paced nature company keeps engaged motivated opportunity contribute cutting-edge projects rewarding intellectually stimulating overall sde amazon provided platform impactful contributions constant learning sense pride part tech giant's transformative journey good workplace good place good work atmosphere decent management good pay best every level positions good remote work opportunities pathway upgrade skills okayish work culture everything kinda bearable end day comes management organisation general; management aspect i'd give 3 star|0.4311020359848486|positive
Amazon.com|amazon fun place work amazon learnt many things e-commerce customers buy sell online important customers company learnt full meaning customer king cool company work dell biggest computer company work culture really awesome management colleagues company whole really greatwhen joined dell knew nothing computers peripherals leaving dell knew much troubleshooting thanks dell genpact say company dream company work awesome staff wide range learning tools free sodexos amazon dell none good company work amazon best place learn good cool culture like formal dress code good employee behavior amazon world best mind working one willing learn best place many groups learn job profile required date new technologies welcome global employee growth good salary expect little work pressure overall wonderful place amazon feels like day 1 everyday ❤️ amazon company emotion join feel belong workplace comfortable people friendly company gives many benefits employees lots fun activities conducted also platform multiple growth opportunities grow within organization glad worked amazon wish join get chance meal allowance transport allowance dress code sufficient leave transparency cons great work culture targets oriented work culture amazing salary also higher compared companies job target based targets keep increasing every quarter great great culture good management understand helping amazing cafeteria rotating shifts amazing work life balance lot growth population option work home working amazon software development engineer (sde) working amazon software development engineer (sde) incredible journey dynamic environment fosters innovation collaboration allowing continuous professional growth emphasis customer-centric solutions inspiring driving us create impactful products vast scale projects challenges refines technical skills ensuring stay forefront technology amazon's leadership principles values paper; guide every aspect work promoting culture excellence ownership fast-paced nature company keeps engaged motivated opportunity contribute cutting-edge projects rewarding intellectually stimulating overall sde amazon provided platform impactful contributions constant learning sense pride part tech giant's transformative journey good workplace good place good work atmosphere decent management good pay best every level positions good remote work opportunities pathway upgrade skills okayish work culture everything kinda bearable end day comes management organisation general; management aspect i'd give 3 star|0.4311020359848486|positive
Tesco-40b6123a|"typical day work actually honest enjoyed much call centre every day typical work understand customer various problems need patience dealing types situations good place work good place work advancement slow facilities good overall fun place woek management great dont leaders look upto fun work place superb work tesco great culture nice work management friendly lovely good great place work every little helps servers better great experience love work tesco good exposure retail world cultural support differences new learnings technologies guidance motivation good work life balance sometimes learning becomes standstill good work life balance respectful friendly management slow paced work lots initiatives within company participate con sometimes learning becomes slow redundant work life balance good campus subsidised lunch medium paced work stagnant redundant learning promotions cycles tedious slow good place work worked 8 years tesco first 4 years beautiful (good learning encouraging people around recognises etc second 4 years suddenly wake dream changed everything wanted people management tesco good people lots politics seniors won’t respect speak higher level management change employee quits job company it’s poor/politics managers downward spiral company downward spiral post 2019 increased attrition wrong hires work place politics company seems welcoming freshness new thoughts colleagues expected fall line fall hr special call terms degeneration tons opportunities grow generally reserved ojp process rigged eye wash great campus stressful condescending management ""reservations"" close knitting communities survivors lack visibility managers hr exploit personal situations people friendly productive place work loved experience tesco people friendly management good supportive barriers expose ideas treated equally irrespective levels"|0.3251506132756132|negative
Tesco-40b6123a|"typical day work actually honest enjoyed much call centre every day typical work understand customer various problems need patience dealing types situations good place work good place work advancement slow facilities good overall fun place woek management great dont leaders look upto fun work place superb work tesco great culture nice work management friendly lovely good great place work every little helps servers better great experience love work tesco good exposure retail world cultural support differences new learnings technologies guidance motivation good work life balance sometimes learning becomes standstill good work life balance respectful friendly management slow paced work lots initiatives within company participate con sometimes learning becomes slow redundant work life balance good campus subsidised lunch medium paced work stagnant redundant learning promotions cycles tedious slow good place work worked 8 years tesco first 4 years beautiful (good learning encouraging people around recognises etc second 4 years suddenly wake dream changed everything wanted people management tesco good people lots politics seniors won’t respect speak higher level management change employee quits job company it’s poor/politics managers downward spiral company downward spiral post 2019 increased attrition wrong hires work place politics company seems welcoming freshness new thoughts colleagues expected fall line fall hr special call terms degeneration tons opportunities grow generally reserved ojp process rigged eye wash great campus stressful condescending management ""reservations"" close knitting communities survivors lack visibility managers hr exploit personal situations people friendly productive place work loved experience tesco people friendly management good supportive barriers expose ideas treated equally irrespective levels"|0.3251506132756132|negative
Amazon-Warehouse-2|good experience transportation specialist amazon generally positive opportunity work dynamic team gain valuable experience logistics supply chain operations challenges overall experience rewarding amazon best company work palace ka aam din kam ka sabse majedar bhag teamwork amazon best forever festival ke waqt kam ka pressure thoda jyada hota hai pay bhi jyada milta hai fun work clean environment time music 🎶 good educated staff 5 day work week overtime payment pf bounce sink leave fun work clean environment time music 🎶 good educated staff clean hygienic canteen clean hygenic washrooms first aid facility inside company free tea coffee 9 hour's work 1 hours break smart work meet successful story best part working company? improve logistics good apoches management targets convenience stressful part working company? rates achievement tough productivity work environment culture like company? like multi national company typical day like company? mechanical technical etc productive fun workplace typical day work time management stock management quality management workplace culture enjoyable part job time play songs work place enjoy work free snacks yes need job yes amazon good company work trust company takes care customers take care employees company grown various areas leading couple something good amazon 6+ years says like amazon|0.3901875901875902|positive
Amazon-Warehouse-2|good experience transportation specialist amazon generally positive opportunity work dynamic team gain valuable experience logistics supply chain operations challenges overall experience rewarding amazon best company work palace ka aam din kam ka sabse majedar bhag teamwork amazon best forever festival ke waqt kam ka pressure thoda jyada hota hai pay bhi jyada milta hai fun work clean environment time music 🎶 good educated staff 5 day work week overtime payment pf bounce sink leave fun work clean environment time music 🎶 good educated staff clean hygienic canteen clean hygenic washrooms first aid facility inside company free tea coffee 9 hour's work 1 hours break smart work meet successful story best part working company? improve logistics good apoches management targets convenience stressful part working company? rates achievement tough productivity work environment culture like company? like multi national company typical day like company? mechanical technical etc productive fun workplace typical day work time management stock management quality management workplace culture enjoyable part job time play songs work place enjoy work free snacks yes need job yes amazon good company work trust company takes care customers take care employees company grown various areas leading couple something good amazon 6+ years says like amazon|0.3901875901875902|positive
Accenture|worked dw&bi project 1) learnt lot 2 yearsi worked informatica tool db2/sql unix systemthe overall experience good 2)played role main developer implemented ad project deals quotes subsystem client's commercial lines insurance business 3)managed applications informatica (etl tool) db2 sql throughout project · 4)excelled achieving high code quality delivering solutions 15 high priority tickets part code fixes production acquired thorough knowledge insurance domain specific commercial lines insurance domain great place work huge workload long working hours sometime lead also good compensation good mental peace promotion lots perks benefits flexibility people understanding concerns that's overall good per work life balance considered job iw pretty simple u certain targets per day completedwork life balance good completely work home week offs rotational weekends good compensation good management work life balance pros: good salaryhikes bonus job security cons: leadership work life balance recognition purely depends project project basis good company good company work challenging work environment though get learn keen learn projects given vary team team overall ok ok hr finance dept upto mark accenture pays better companies good policies hr finance dept like govt sector help employees work life balance depends project job security extent great learning place accenture makes sure employees date industry standards technology skills person need performing job well good place good place work groww respective careers ample opportunities good work life balance stress flexible timings good guidelines management overall experience average|0.38012471655328794|positive
Accenture|worked dw&bi project 1) learnt lot 2 yearsi worked informatica tool db2/sql unix systemthe overall experience good 2)played role main developer implemented ad project deals quotes subsystem client's commercial lines insurance business 3)managed applications informatica (etl tool) db2 sql throughout project · 4)excelled achieving high code quality delivering solutions 15 high priority tickets part code fixes production acquired thorough knowledge insurance domain specific commercial lines insurance domain great place work huge workload long working hours sometime lead also good compensation good mental peace promotion lots perks benefits flexibility people understanding concerns that's overall good per work life balance considered job iw pretty simple u certain targets per day completedwork life balance good completely work home week offs rotational weekends good compensation good management work life balance pros: good salaryhikes bonus job security cons: leadership work life balance recognition purely depends project project basis good company good company work challenging work environment though get learn keen learn projects given vary team team overall ok ok hr finance dept upto mark accenture pays better companies good policies hr finance dept like govt sector help employees work life balance depends project job security extent great learning place accenture makes sure employees date industry standards technology skills person need performing job well good place good place work groww respective careers ample opportunities good work life balance stress flexible timings good guidelines management overall experience average|0.38012471655328794|positive
